1st first
2nd second
3rd third
4th fourth
5th fifth
6th sixth
7th seventh
8th eigth
9th ninth
10th tenth
a.i. artificial+intelligence
Adm. administrator
Apr April
Apr. April
Assn. association
Attny. attorney
Aug August
Aug. August
Ave. avenue
Ariz. Arizona
Bldg. building
Blvd. boulevard
Brig. brigade
Capt. captain
Cmdr. commander
Co. commanding+officer
Col. colonel
Colo. Colorado
Corp Corporation
Corp. corporation
Ct. court
Dec December
Dec. December
Dr doctor
Dr. doctor
Esq. esquire
e.g. for+example
ex. for+example
FB Facebook
Feb February
Feb. February
fla. Florida
ft feet+
ft. feet
i.e. for+example
ie: for+example+:
Gen. general
Gov. government
Hwy. highway
Inc. Incorporated
Jan January
Jan. January
Jr. junior
Jul. July
Jun June+
Jun. June
kg kilogram
kg. kilogram
kgs kilograms
kgs. kilograms
lb pound
lb. pound
lbs pounds
lbs. pounds
Lieut. lieutenant
Lt. lieutenant
Ltd Limited
Ltd. Limited
Mar. March
mich. Michigan
minn. Minnesota
Mlle. mademoiselle
Mme. madame
Mr Mr.
Mrs Mrs.
Mt. Mount
nev. Nevada
Nov November
Nov. November
Oct October
Oct. October
okla. Oklahoma
oz ounce
oz. ounce
Pkwy. parkway
Pl. place
Pres. president
Prof. professor
Pty. proprietary
Pvt. private
Radm. rear+admiral
Rd. road
Rep. representative
Rev. revolutions
Revd. reverend
Rm. room
Sen. senator
Sept September
Sept. September
Sgt. sargent
Sr. sir
St. street
Ste. suite
V.P. vice+president
u_s_a U.S.A.
USA U.S.A.
v. versus
vs. versus
w/ with
yr year
yr. year
